Date UTC;T° (C);P (hPa);HR (%);P.rosée (°C);Visi (km);Vt. moy. (km/h);Vt. raf. (km/h);Vt. dir (°);RR 3h (mm);Neige (cm);Nebul. (octats)
13/09/16 00h00;18.3;1009;97;17.8;9;12.964;20.372;180;0;0;7
13/09/16 03h00;17.1;1007.4;98;16.8;0.4;3.704;11.112;50;0;0;7
13/09/16 06h00;17.6;1008.1;99;17.4;5;5.556;14.816;160;0;0;8
13/09/16 09h00;20.1;1007.2;87;17.9;45;11.112;18.52;40;0;0;8
13/09/16 12h00;23.3;1005.8;76;18.8;40;14.816;25.928;10;0;0;
13/09/16 15h00;18.8;1005.1;93;17.6;5;14.816;29.632;10;0;0;8
13/09/16 18h00;17.2;1005.1;98;16.9;3.9;9.26;24.076;360;2;0;8
13/09/16 21h00;17.2;1005.1;98;16.9;3;12.964;25.928;60;0;0;8
14/09/16 00h00;17.5;1005.5;97;17;9;12.964;24.076;110;3;0;8
14/09/16 03h00;16.2;1004;97;15.7;2.9;7.408;12.964;80;0;0;
14/09/16 06h00;15.5;1004.6;94;14.5;45;18;36;100;0;0;7
14/09/16 09h00;18;1005.9;82;14.9;29;28.8;46.8;130;0;125;
14/09/16 12h00;20.2;1007.2;65;13.4;7;32.4;54;140;0;716;7
14/09/16 15h00;20.4;1007.9;62;12.9;28;25.2;46.8;150;0;810;
14/09/16 18h00;18.6;1009.3;63;11.4;45;25.2;43.2;130;0;440;
14/09/16 21h00;13.8;1010.5;89;12;60;3.6;10.8;50;0;0;
15/09/16 00h00;13.4;1010.4;89;11.6;60;10.8;14.4;40;0;0;8
15/09/16 03h00;12.7;1009.8;94;11.8;60;7.2;7.2;100;0;0;7
15/09/16 06h00;13.8;1010.1;92;12.5;4.6;7.2;18;20;;0;8
15/09/16 09h00;14;1010.8;98;13.7;2.9;7.2;14.4;310;9;0;8
15/09/16 12h00;16.4;1011.4;95;15.6;2;10.8;14.4;290;0;0;8
15/09/16 15h00;16.3;1011.8;91;14.8;19;10.8;18;330;1;0;8
15/09/16 18h00;16.1;1012.8;94;15.1;18;7.2;10.8;300;;0;8
15/09/16 21h00;16.2;1014;96;15.6;10;14.4;25.2;320;0;0;8
16/09/16 00h00;15.9;1014.7;95;15.1;16;18;28.8;310;0;0;8
16/09/16 03h00;15.2;1015.4;92;13.9;40;21.6;32.4;320;0;0;8
16/09/16 06h00;15.1;1016.8;92;13.8;15;18;36;320;;0;8
16/09/16 09h00;16.4;1019;76;12.2;13;28.8;39.6;350;;826;6
16/09/16 12h00;16.6;1020.4;68;10.7;16;25.2;46.8;340;0;204;7
16/09/16 15h00;16.7;1021.1;70;11.2;19;28.8;50.4;330;0;255;8
16/09/16 18h00;14.5;1022.6;80;11.1;55;18;39.6;330;0;209;
16/09/16 21h00;13.3;1024.3;87;11.2;45;14.4;21.6;330;0;0;
17/09/16 00h00;12.2;1024.3;94;11.3;19;7.2;14.4;320;;0;
17/09/16 03h00;12.6;1024.5;95;11.8;19;10.8;18;310;0;0;
17/09/16 06h00;12.3;1024.7;96;11.7;18;3.6;18;350;0;0;8
17/09/16 09h00;15.9;1025.3;79;12.3;35;18;28.8;340;0;593;7
17/09/16 12h00;17.3;1025;67;11.1;25;18;28.8;340;0;67;7
17/09/16 15h00;16.2;1024.1;71;10.9;40;18;32.4;330;0;693;
17/09/16 18h00;14.5;1024.2;82;11.5;55;7.2;21.6;340;0;113;
17/09/16 21h00;12;1024.4;94;11.1;17;7.2;10.8;310;0;0;
18/09/16 00h00;9.8;1024.2;97;9.3;6;7.2;7.2;310;0;0;
18/09/16 03h00;10.1;1023.7;98;9.8;0.6;3.6;10.8;300;0;0;
18/09/16 06h00;10.4;1023.4;99;10.2;0.3;3.6;10.8;340;0;0;
18/09/16 09h00;15.2;1023.5;79;11.6;18;7.2;18;360;0;580;
18/09/16 12h00;18;1023.2;63;10.8;35;10.8;25.2;300;0;715;7
18/09/16 15h00;17.7;1023.2;62;10.3;50;10.8;25.2;310;0;737;8
18/09/16 18h00;15.7;1023.5;75;11.3;55;3.6;14.4;350;0;28;8
18/09/16 21h00;14.2;1023.5;86;11.9;35;0;3.6;0;0;0;8
19/09/16 00h00;13.3;1023.3;93;12.2;14;3.6;7.2;230;0;0;8
19/09/16 03h00;13.6;1023;96;13;22;3.6;3.6;160;0;0;8
19/09/16 06h00;14.4;1022.9;95;13.6;16;7.2;10.8;190;0;0;8
19/09/16 09h00;15.7;1023.1;93;14.6;19;10.8;14.4;180;;0;8
19/09/16 12h00;16.2;1022.8;92;14.9;6;7.2;14.4;230;0;0;8
19/09/16 15h00;17;1022;86;14.6;40;14.4;21.6;340;0;0;8
19/09/16 18h00;15.2;1021.9;91;13.7;18;14.4;21.6;340;0;0;8
19/09/16 21h00;14.3;1021.8;96;13.7;7;10.8;21.6;310;0;0;8
20/09/16 00h00;14.2;1021;97;13.7;4.8;0;7.2;0;0;0;8
20/09/16 03h00;13.3;1020.1;98;13;0.3;3.6;3.6;60;0;0;7
20/09/16 06h00;13.5;1020;99;13.3;7;7.2;10.8;40;0;0;8
20/09/16 09h00;14.5;1020.5;97;14;4.9;7.2;14.4;10;0;0;8
20/09/16 12h00;17;1019.9;86;14.6;50;7.2;14.4;10;0;78;8
20/09/16 15h00;18.1;1018.5;81;14.8;19;14.4;25.2;360;0;;7
20/09/16 18h00;15.6;1018.6;91;14.1;12;14.4;21.6;350;0;0;8
20/09/16 21h00;14.3;1018.9;98;14;1.6;7.2;10.8;350;;0;8
21/09/16 00h00;13.9;1017.7;99;13.7;0.1;7.2;14.4;60;0;0;8
