Date UTC;T° (C);P (hPa);HR (%);P.rosée (°C);Visi (km);Vt. moy. (km/h);Vt. raf. (km/h);Vt. dir (°);RR 3h (mm);Neige (cm);Nebul. (octats)
13/09/15 00h00;12.5;1008.7;81;9.3;40;9.26;18.52;140;0;;8
13/09/15 03h00;12.3;1006.4;83;9.5;40;11.112;16.668;120;0;;8
13/09/15 06h00;12.3;1004.7;82;9.3;40;14.816;22.224;130;;;7
13/09/15 09h00;14.2;1002.9;80;10.8;40;18.52;31.484;140;;;7
13/09/15 12h00;13.3;1000.8;93;12.2;4;18.52;38.892;140;4;;7
13/09/15 15h00;15.5;997.4;91;14;10;25.928;44.448;160;6;;7
13/09/15 18h00;15.3;997.6;86;13;20;22.224;35.188;220;;;6
13/09/15 21h00;14.7;997.3;89;12.9;20;18.52;29.632;210;0;;6
14/09/15 00h00;14.3;996.2;91;12.8;15;22.224;42.596;240;1;;6
14/09/15 03h00;12;997.9;92;10.7;5;31.484;61.116;270;2;;7
14/09/15 06h00;10.8;999.8;89;9.1;7;25.928;46.3;270;4;0;8
14/09/15 09h00;14.7;1001.4;64;8;20;35.188;61.116;270;0;;4
14/09/15 12h00;15.3;1002.8;63;8.3;20;31.484;59.264;260;1;;5
14/09/15 15h00;15.3;1003;63;8.3;20;35.188;64.82;250;1;;5
14/09/15 18h00;11.7;1002.6;77;7.8;20;22.224;48.152;240;0;;7
14/09/15 21h00;9.4;1002.8;87;7.3;26;22.224;44.448;230;2;0;8
15/09/15 00h00;8.8;1002.4;90;7.2;15;11.112;16.668;220;1;;5
15/09/15 03h00;9.1;1002.3;87;7;20;11.112;16.668;240;0;;3
15/09/15 06h00;9.1;1002.6;86;6.9;20;9.26;14.816;220;0;;1
15/09/15 09h00;14.6;1002.3;64;7.9;20;20.372;29.632;220;0;;4
15/09/15 12h00;16.2;1000.4;56;7.4;20;20.372;33.336;190;0;;6
15/09/15 15h00;14.3;997.9;68;8.5;20;14.816;29.632;150;0;;7
15/09/15 18h00;11.9;994.5;94;11;12;18.52;27.78;60;6;;8
15/09/15 21h00;12;990.6;95;11.2;12;22.224;31.484;50;1;;8
16/09/15 00h00;12.3;987.5;94;11.4;12;18.52;31.484;40;0;;7
16/09/15 03h00;13.4;987.2;91;12;25;12.964;27.78;30;0;;8
16/09/15 06h00;13.3;984.7;95;12.5;20;14.816;31.484;60;0;;8
16/09/15 09h00;14.3;984.1;94;13.3;7;7.408;24.076;100;0;;8
16/09/15 12h00;17.4;983.1;77;13.3;20;16.668;27.78;240;0;;7
16/09/15 15h00;13.3;984.5;93;12.2;8;31.484;53.708;340;7;;8
16/09/15 18h00;13.2;989.6;88;11.3;20;18.52;42.596;330;0;;8
16/09/15 21h00;12.3;993.8;90;10.7;12;14.816;27.78;310;0;;5
17/09/15 00h00;12;996.6;92;10.7;12;12.964;22.224;310;0;;4
17/09/15 03h00;11.9;998.8;90;10.3;12;9.26;18.52;290;0;;7
17/09/15 06h00;12.3;1001;85;9.8;35;11.112;25.928;280;0;;7
17/09/15 09h00;15.3;1004.1;67;9.2;40;14.816;27.78;270;0;;3
17/09/15 12h00;17;1005.8;62;9.7;40;27.78;42.596;230;0;;4
17/09/15 15h00;16.9;1007.1;70;11.4;50;31.484;50.004;240;0;0;8
17/09/15 18h00;14;1007.9;89;12.2;8;25.928;50.004;240;1;;7
17/09/15 21h00;13.6;1009.3;91;12.2;18;18.52;38.892;240;0;;6
18/09/15 00h00;13.5;1009.9;93;12.4;15;20.372;37.04;240;0;;5
18/09/15 03h00;12.4;1010.4;91;11;15;11.112;27.78;250;0;;4
18/09/15 06h00;12.4;1011.8;95;11.6;18;10.8;14.4;250;0;;7
18/09/15 09h00;15.3;1014.2;81;12.1;20;12.964;25.928;280;0;;7
18/09/15 12h00;15.8;1015.9;79;12.2;40;12.964;29.632;280;0;;7
18/09/15 15h00;15.9;1017;72;10.9;40;12.964;27.78;300;0;;7
18/09/15 18h00;14.5;1018.9;81;11.3;40;11.112;22.224;300;0;;7
18/09/15 21h00;13.5;1020.9;87;11.4;45;5.556;11.112;280;0;0;8
19/09/15 00h00;13.2;1022.2;91;11.8;35;5.556;11.112;290;0;0;8
19/09/15 03h00;11.7;1023.2;93;10.6;10;5.556;7.408;310;0;;2
19/09/15 06h00;11.6;1024.3;98;11.3;0.1;5.556;9.26;310;0;;8
19/09/15 09h00;14.3;1026.1;82;11.3;19;7.408;12.964;30;0;;4
19/09/15 12h00;16.7;1026.9;65;10.1;25;7.408;14.816;340;0;;7
19/09/15 15h00;18.3;1026.9;59;10.1;25;12.964;18.52;360;0;;7
19/09/15 18h00;14.1;1027.5;80;10.7;25;9.26;16.668;20;0;;2
19/09/15 21h00;11.1;1028.4;95;10.3;6;5.556;7.408;40;0;;0
20/09/15 00h00;8.9;1028.2;94;8;0.2;0;7.408;0;0;;0
20/09/15 03h00;8.7;1027.2;97;8.2;1.2;0;3.704;0;0;;5
20/09/15 06h00;9.4;1026.6;95;8.6;10;5.556;7.408;150;0;;2
20/09/15 09h00;14.8;1026.3;82;11.8;10;9.26;14.816;200;0;;2
20/09/15 12h00;17.1;1025.5;72;12;20;14.816;24.076;190;0;;5
20/09/15 15h00;18.1;1024.3;61;10.5;20;16.668;31.484;220;0;;2
20/09/15 18h00;14.7;1023.3;70;9.3;60;5.556;14.816;260;0;0;
20/09/15 21h00;9.2;1022.8;89;7.5;20;3.704;5.556;180;0;;1
21/09/15 00h00;11.9;1021;85;9.5;20;9.26;12.964;150;0;;8
21/09/15 03h00;12.4;1018.9;81;9.2;20;11.112;14.816;160;0;;8
21/09/15 06h00;13.8;1017.4;82;10.8;30;14.816;24.076;220;;;7
21/09/15 09h00;13.9;1016.4;86;11.6;15;25.928;42.596;220;0;;7
21/09/15 12h00;14.7;1014.5;95;13.9;4;25.928;38.892;220;2;;8
21/09/15 15h00;14.7;1014.2;77;10.7;30;20.372;31.484;300;1;;6
21/09/15 18h00;12.8;1013.7;84;10.2;30;9.26;25.928;270;0;;5
21/09/15 21h00;12.4;1012.5;89;10.6;20;14.816;22.224;240;0;;6
22/09/15 00h00;13.6;1009.3;88;11.6;15;25.928;38.892;230;;;8
22/09/15 03h00;12.5;1007.5;92;11.2;10;16.668;61.116;280;2;;8
22/09/15 06h00;11.2;1007.7;85;8.8;15;16.668;29.632;290;0;;6
22/09/15 09h00;13.7;1008.6;71;8.5;20;20.372;51.856;300;0;;5
22/09/15 12h00;15;1009.5;58;6.8;20;33.336;51.856;310;;;6
22/09/15 15h00;14.7;1010.1;62;7.5;30;27.78;48.152;320;0;0;
22/09/15 18h00;12.6;1011.6;77;8.7;30;12.964;31.484;310;;;1
22/09/15 21h00;9.6;1013.5;90;8;30;7.408;11.112;280;;;1
